"GENERA","N_NT_MISMATCH_SPACER","COUNT","TOTAL","PROP","COUNT_PHAST","COUNT_SPACER","COUNT_HIT","N_MM0","N_MM7","N_PHAST","N_SPACER","N_HIT","N_PROPHAGE_MISMATCH","ANY_MATCH","TOTAL_SHUFFLED","N_GENOME","N_GENOME_PHAST","PROP_GENOME_PHAST","SD_GENOME_PHAST"
"Acetobacter",3,2,7,0.285714285714286,19,524,23,1,6,19,524,23,5,5,0,111,34,0.306306306306306,0.0437522460708692
"Acetobacter",0,1,7,0.142857142857143,19,524,23,1,6,19,524,23,5,5,12,111,34,0.306306306306306,0.0437522460708692
"Acetobacter",4,0,7,0,19,524,23,1,6,19,524,23,5,5,0,111,34,0.306306306306306,0.0437522460708692
"Acetobacter",5,0,7,0,19,524,23,1,6,19,524,23,5,5,0,111,34,0.306306306306306,0.0437522460708692
"Acetobacter",2,4,7,0.571428571428571,19,524,23,1,6,19,524,23,5,5,1,111,34,0.306306306306306,0.0437522460708692
"Acetobacter",1,0,7,0,19,524,23,1,6,19,524,23,5,5,0,111,34,0.306306306306306,0.0437522460708692
"Achromobacter",3,9,28,0.321428571428571,43,211,35,5,23,43,211,35,10,10,0,150,16,0.106666666666667,0.0252043500066806
"Achromobacter",5,2,28,0.0714285714285714,43,211,35,5,23,43,211,35,10,10,0,150,16,0.106666666666667,0.0252043500066806
"Achromobacter",2,2,28,0.0714285714285714,43,211,35,5,23,43,211,35,10,10,8,150,16,0.106666666666667,0.0252043500066806
"Achromobacter",0,5,28,0.178571428571429,43,211,35,5,23,43,211,35,10,10,0,150,16,0.106666666666667,0.0252043500066806
"Achromobacter",1,5,28,0.178571428571429,43,211,35,5,23,43,211,35,10,10,0,150,16,0.106666666666667,0.0252043500066806
"Achromobacter",4,5,28,0.178571428571429,43,211,35,5,23,43,211,35,10,10,0,150,16,0.106666666666667,0.0252043500066806
"Acidovorax",2,5,23,0.217391304347826,33,798,49,0,23,33,798,49,13,13,3,111,18,0.162162162162162,0.0349859167708635
