"ASSEMBLY","HAS_ACR","HAS_ST","HAS_CRISPR","ST_MM0","ST_MM15","HAS_PROPHAGE","HAS_ST_PRO","ST_MM0_PRO","ST_MM15_PRO","HAS_ARRAY","HAS_CAS","SPECIES","GENUS","KINGDOM","DEF_ORG","DEF_COMP","TAXID","N_CONTIG"
"GCA_001465155.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain Cu1510","complete genome",287,1
"GCA_003626935.1",0,1,1,1,0,1,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain BA7823 chromosome","complete genome",287,1
"GCA_003691345.1",0,1,1,1,0,1,1,1,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain PA-3 chromosome","complete genome",287,1
"GCA_003713085.1",0,1,1,1,0,1,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain BA15561 chromosome","complete genome",287,1
"GCA_003950235.1",0,1,1,1,1,1,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain B41226 chromosome","complete genome",287,1
"GCA_003952285.1",0,1,1,1,0,1,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain SP2230 chromosome","complete genome",287,1
"GCA_003952305.1",0,1,1,1,0,1,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain B14130 chromosome","complete genome",287,1
"GCA_004014755.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","len=6284063.","unknown",287,1
"GCA_900475605.1",0,0,1,0,0,0,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain NCTC13718 genome assembly","chromosome: 1",287,1
"GCA_900478745.1",0,0,1,0,0,1,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain NCTC9433 genome assembly","chromosome: 1",287,1
"GCF_000006765.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa PAO1","complete genome",208964,1
"GCF_000014625.1",0,0,1,0,0,0,0,0,0,1,1,"Pseudomonas aeruginosa UCBPP-PA14","Pseudomonas","Bacteria","Pseudomonas aeruginosa UCBPP-PA14","complete genome",208963,1
"GCF_000017205.1",0,1,0,0,1,1,0,0,0,1,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa PA7","complete genome",381754,1
"GCF_000026645.1",1,1,0,1,0,1,1,1,0,1,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa LESB58 complete genome sequence.","unknown",557722,1
"GCF_000226155.1",0,0,1,0,0,0,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa M18","complete genome",941193,1
"GCF_000271365.1",0,0,1,0,0,0,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa DK2","complete genome",1093787,1
"GCF_000271985.2",0,0,1,0,0,1,0,0,0,1,1,"Pseudomonas aeruginosa SJTD-1","Pseudomonas","Bacteria","Pseudomonas aeruginosa SJTD-1","complete genome",1193501,1
"GCF_000284555.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa NCGM2.S1","Pseudomonas","Bacteria","Pseudomonas aeruginosa NCGM2.S1 DNA","complete genome",1089456,1
"GCF_000359505.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa B136-33","Pseudomonas","Bacteria","Pseudomonas aeruginosa B136-33","complete genome",1280938,1
"GCF_000414035.1",0,1,1,1,1,1,1,0,1,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa RP73","complete genome",1340851,1
"GCF_000473745.2",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa VRFPA04","complete genome",1400868,1
